Dream Weight,Actual Weight,Age,Gender,Duration,Weather Conditions,Exercise Intensity,Height,maximum Heart Rate,Calories to Burn (Kcal)
54.24162087,54.53063568,37,Male,51,Rainy,10,1.2596022256290873,183,618804.9474850231
96.92153758,96.08917838,47,Female,25,Sunny,5,1.8466599166641953,173,213089.35933280346
76.44365295,79.82720402,28,Female,31,Sunny,1,1.9148239609691737,192,51389.55617911689
99.79883357,99.0966335,57,Female,27,Cloudy,4,1.7529248900751693,163,179300.05569933704
98.84875202,100.8967673,41,Female,53,Cloudy,5,1.9192177451114325,179,476371.7021345348
90.00990748,85.40862776,19,Male,60,Cloudy,1,1.9606173613844695,201,123937.11946974763
53.20619588,51.17641475,32,Female,37,Rainy,9,1.622917755251847,188,427918.7288475007
60.46042111,58.06911618,55,Male,36,Cloudy,7,1.3520444557426095,165,303137.12111113325
67.72806592,70.58058256,39,Female,59,Sunny,2,1.517430171037863,181,165374.8186425423
78.55073371,76.65819193,32,Female,28,Rainy,2,1.8238935639868463,188,88644.27750639078
76.97485323,75.47957349,58,Male,36,Rainy,7,1.6964771639717324,162,399277.6797329623
62.04763518,66.54716531,40,Male,52,Cloudy,6,1.8218174717217666,180,507656.62844125193
86.6758351,82.55090155,48,Female,34,Sunny,2,1.7886165075951332,172,105890.59148663591
84.14863746,88.76687023,36,Male,54,Cloudy,2,1.7203157593421703,184,205068.1636849987
82.43364998,77.79195722,35,Male,21,Rainy,7,1.96696169187199,185,275741.24272043916
57.90317356,56.59718028,28,Male,39,Rainy,3,1.5194830477521224,192,165770.08564280623
74.29894484,70.505351,37,Male,32,Rainy,3,1.9260166246161188,183,167728.18228802647
77.63226847,81.53358944,25,Female,50,Cloudy,7,1.5573621507238162,195,551514.2135460713
76.78404005,81.76218279,51,Male,52,Sunny,3,1.544053189248408,169,255090.2777838388
74.27839097,72.56739655,28,Female,20,Rainy,1,1.8539228036746678,192,31434.580009525238
93.72924375,90.70424116,27,Female,53,Sunny,5,1.7409346237931682,193,452823.16608127544
96.99129988,92.2778923,52,Male,38,Cloudy,8,2.1355235074079886,168,624489.7669218511
76.93070857,75.98180486,49,Female,26,Sunny,1,1.8239262101481404,171,39080.056325552156
65.65555298,62.78632646,48,Male,21,Cloudy,8,1.3568877819465688,172,219775.0568396508
57.83633874,61.49848031,40,Male,48,Rainy,6,1.8206337195423707,180,448962.9876637787
76.49824545,79.84324315,47,Female,21,Cloudy,4,2.0369066970444845,173,135527.88178880422
87.40573433,83.15299584,40,Female,25,Cloudy,10,1.7173783940938214,180,393838.1447556864
65.45832237,67.53030977,26,Male,39,Cloudy,2,1.4029395497697983,194,118461.27149401087
85.21196044,83.80386672,60,Female,35,Cloudy,7,1.782333200127306,160,371149.07433502347
76.6660257,78.45646952,20,Male,30,Cloudy,4,1.5888475659546624,200,214606.95228732994
78.8011706,78.62363525,52,Male,52,Cloudy,2,1.9054129122744798,168,183132.1957966564
71.71853757,74.92635505,50,Male,23,Rainy,4,1.8489961662463619,170,155998.29476835608
81.1732508,81.75920467,36,Male,40,Cloudy,1,1.908142746005978,184,75801.43075089037
60.94100863,62.46149413,40,Female,41,Sunny,10,1.6184979156501647,180,554887.8871002977
53.58722902,53.78396297,51,Male,26,Rainy,7,1.3706560806752932,169,214242.50211457966
79.66824254,76.38530131,19,Female,34,Sunny,2,1.734504368316183,201,109412.4987472188
99.07569469,95.95126884,32,Female,49,Sunny,8,1.8697239908364471,188,696009.6711272476
55.8392404,52.15090762,58,Male,30,Cloudy,6,1.4458601725851203,162,207293.40111757308
97.72148267,100.4104576,25,Male,53,Sunny,4,2.261924283828051,195,503952.2732265718
78.1162371,77.33768093,60,Male,27,Sunny,2,1.6108472030740666,160,84071.54614542057
81.0726531,81.78720798,42,Female,34,Rainy,4,1.7147862749985985,178,211243.37362524515
92.55242138,95.12661104,59,Female,51,Sunny,9,1.698035417589609,161,733394.8563971687
98.59539471,96.4680018,52,Female,36,Cloudy,3,1.7268043060660119,168,178139.15135969582
95.02492746,96.17884077,43,Female,28,Rainy,2,2.2412045657313686,177,103325.259243571
65.77778426,61.23949091,52,Male,44,Rainy,9,1.377518244237523,168,504763.16819181957
69.8404642,72.72992098,27,Male,42,Rainy,10,1.6511161742284775,193,714762.8894201488
97.58691919,102.2311965,56,Female,46,Rainy,2,2.1527125205095157,164,167196.67958582
61.69187834,62.93349247,33,Female,45,Cloudy,10,1.4101658676784423,187,595583.2758045922
65.50027596,64.29150459,57,Male,24,Cloudy,1,1.8467689168718553,163,36296.41656477681
91.59064132,88.75571394,25,Female,55,Rainy,2,2.0253029516271353,195,196625.6535338993
66.37023873,61.68558378,55,Male,46,Cloudy,7,1.3462198436772956,165,402042.653379809
55.45791564,57.37963507,18,Female,42,Sunny,4,1.4143372601021156,202,224851.90033688344
53.7830683,55.08886643,40,Male,51,Sunny,6,1.621178756305947,180,421457.23598646384
80.1558737,82.52777519,43,Female,52,Rainy,7,1.7418745755111043,177,569357.9093657982
67.94857152,65.07531403,28,Male,32,Sunny,8,1.6355478463411146,192,406046.56474086683
53.55212315,50.02107892,57,Male,40,Rainy,5,1.2254671065993024,163,204601.41174964904
86.20290906,83.79618992,36,Female,22,Cloudy,3,1.8432818952010606,184,108083.25655535288
66.92549295,68.8660001,35,Male,36,Sunny,5,1.7648688304590288,185,298660.56391385786
54.41506976,59.19067336,35,Male,27,Cloudy,8,1.5880341142525882,185,312064.27684568724
69.72905757,71.09468662,40,Female,56,Rainy,6,1.5720077287690803,180,476721.35668006114
87.41431198,87.5055916,34,Female,23,Sunny,7,2.0185083374066144,186,279314.2452410569
97.42627824,98.55154754,57,Female,52,Cloudy,5,1.7944822418612352,163,433685.1372440576
90.12892254,86.43440433,41,Male,46,Cloudy,7,1.6430938194172735,179,580272.1552766499
79.75710513,75.32676972,37,Male,38,Cloudy,10,1.48284933192478,183,607652.3487652258
76.27469891,78.86926562,42,Male,57,Sunny,1,1.6169148479277053,178,95902.32826080381
50.70619304,50.5837702,27,Male,50,Sunny,8,1.5319128912289919,193,539167.5063480772
54.14344982,56.99475918,53,Female,20,Rainy,3,1.4927439206440798,167,72455.13628517975
71.31793923,67.57261021,56,Female,30,Rainy,1,1.4271386763183926,164,38162.53465605924
56.68192287,60.79754678,38,Male,46,Cloudy,9,1.5746172119347024,182,597319.0071667173
52.05940184,55.71856453,22,Male,51,Sunny,7,1.305167097537068,198,477051.70978457225
81.84193836,80.84973657,28,Male,28,Rainy,7,1.7111181951915106,192,359408.24636933644
94.31314947,95.80545927,54,Male,51,Cloudy,4,2.1167735377587085,166,424554.46915656124
78.95308602,79.63577637,42,Female,58,Sunny,5,1.7081422162490927,178,444079.1699793341
54.2371572,59.09725982,18,Male,39,Cloudy,8,1.3160568306682654,202,439757.0308080271
57.00863719,57.63665394,57,Female,60,Cloudy,8,1.577542191596997,163,586786.4207711662
84.5444396,82.51560728,47,Female,38,Sunny,6,1.6221988930724247,173,344202.9445709753
93.12616649,94.38356843,58,Female,22,Rainy,5,1.7147396469915155,162,176048.8619901199
99.5113162,102.9782737,43,Male,22,Cloudy,5,1.895353542705603,177,234677.42076936507
60.69999543,63.44628513,58,Female,22,Cloudy,2,1.7740761781907808,162,58640.98233842702
53.32739946,56.20362011,23,Male,42,Cloudy,7,1.6737733043688006,197,445114.4439697958
85.90666573,88.79659313,49,Female,41,Rainy,5,1.833986178389396,171,333062.2730213197
56.35911615,57.06837366,39,Female,26,Cloudy,4,1.6322081638593882,181,136457.6034013565
91.46747422,92.75547183,34,Male,52,Cloudy,1,2.0404603326170876,186,110094.71042593144
63.53499848,67.04093332,19,Male,39,Cloudy,2,1.8156502608105798,201,136498.2016203809
78.63395151,83.11037908,32,Female,37,Sunny,4,1.7398479232944097,188,239250.81517442653
88.55364482,89.99851689,43,Female,54,Rainy,7,1.9013376892377951,177,636043.0992833101
92.31470194,91.07660295,57,Female,33,Rainy,7,1.7020035408299405,163,362727.52926281386
56.9317965,55.98469128,44,Female,29,Sunny,2,1.406537712768661,176,70209.51177354968
73.32088288,70.13620933,34,Female,50,Rainy,10,1.7489827322386013,186,745378.6890610144
57.83001371,53.042103,40,Female,44,Cloudy,4,1.3734919710710471,180,209507.08047787062
52.11344316,50.86320199,57,Female,36,Sunny,2,1.5129870137596415,163,82068.36520782721
97.24472774,93.00075247,59,Female,25,Rainy,9,2.0413503827396835,161,379015.04399913986
95.96800941,99.24127998,18,Female,50,Sunny,4,1.7620466669787784,202,366643.83468101715
80.83581477,84.33421187,39,Male,41,Rainy,9,1.8702204104205915,181,698997.8850004127
61.66302264,61.73193421,58,Female,27,Sunny,7,1.4510809965363594,162,229981.45370133163
82.73871276,85.16440129,43,Female,23,Sunny,3,1.6935480703674195,177,108576.9793540635
59.36482569,55.16087683,30,Male,28,Cloudy,2,1.3438338978581073,190,72909.0966505225
56.26033451,61.24653066,25,Female,28,Cloudy,10,1.683108126890361,195,399592.63868262304
76.41797628,78.5115556,52,Female,53,Rainy,1,1.9220915192052244,168,81826.34528599786
91.53400426,92.41374766,55,Female,50,Sunny,6,1.6645557804071116,165,473901.6916146429
61.98804603,58.7253541,43,Male,59,Sunny,1,1.7537367185264043,177,86884.15638581276
82.4925542,86.58468232,29,Male,23,Sunny,1,1.8634190677339006,191,45493.0523918704
95.81706922,100.4090798,40,Male,31,Rainy,2,2.238732285777704,180,141411.46409356987
79.65763617,75.91369081,29,Male,58,Cloudy,5,1.878362967748697,191,534229.6201612093
75.32336965,74.96073161,36,Female,58,Rainy,7,1.4910199014095613,184,587397.8973656669
65.58163045,65.80857826,26,Female,59,Sunny,10,1.6422016610751426,194,856856.4086850664
64.73910381,68.3741302,46,Female,45,Cloudy,4,1.5370065923096827,174,244229.98036624916
51.05534575,53.69455335,22,Male,42,Sunny,7,1.4277348482017536,198,402187.26215529966
96.5655895,97.80677203,44,Female,31,Cloudy,3,1.8854616887626565,176,162341.56744902753
95.0383254,98.57887801,44,Male,40,Rainy,8,1.8623513728945706,176,656952.848816664
70.97200523,74.43379193,28,Male,28,Cloudy,3,1.6134779432740531,192,142875.90033892798
82.27331216,84.64565117,52,Male,48,Cloudy,5,1.7526554603146027,168,424381.2345910723
85.24942967,82.52383881,26,Female,32,Rainy,5,2.0625358666871922,194,277933.52783612197
92.22488557,94.61001335,35,Male,30,Sunny,6,2.034564416354053,185,384038.06620648684
55.50903185,53.24650478,56,Male,20,Cloudy,1,1.3370073216990432,164,22508.46476442062
94.29167377,90.220902,38,Female,22,Cloudy,8,2.0557163070599525,182,308736.8403189265
54.17946007,57.12792775,23,Female,43,Sunny,5,1.3503101241935567,197,278337.070241574
62.12980391,62.26845357,27,Female,23,Cloudy,7,1.663022777112452,193,228891.09928830765
98.9389131,96.4338872,50,Female,36,Cloudy,1,1.9819801115882463,170,62526.04536630379
67.81632892,70.97223588,23,Male,25,Cloudy,5,1.9355057967802134,197,229681.90949489808
69.30636197,69.18487084,54,Male,23,Cloudy,2,1.7112243818756676,166,70374.9535932582
74.24094884,75.59689133,38,Female,51,Sunny,6,1.6889346308247841,182,460630.7972439566
70.27505826,74.84338458,45,Male,26,Cloudy,9,1.7478526562478984,175,391802.1852306806
88.25870267,83.66405641,19,Female,55,Cloudy,3,2.071568767034009,201,293821.5280523169
72.31580813,69.31447707,60,Male,37,Sunny,3,1.5161407630250163,160,155837.78416455697
80.02737334,81.14219998,60,Male,56,Cloudy,7,1.7972482349765153,160,665342.9645901377
69.5446766,72.99273153,56,Male,51,Rainy,2,1.7946612841331655,164,164178.34060541744
89.47824503,88.61938842,53,Male,55,Rainy,3,1.8439537842665426,167,306838.68067582196
94.95883136,96.36457188,52,Female,35,Rainy,2,2.1586554403600076,168,124758.73561185232
72.69081273,75.08330305,24,Female,26,Rainy,4,1.522348746407072,196,156997.56227378713
92.5834038,88.22157221,42,Male,29,Sunny,7,1.9501315698316022,178,399443.21028168994
55.68245556,54.81757182,19,Male,30,Rainy,10,1.4386265232856275,201,421586.0634591938
53.83608215,51.86215132,26,Male,33,Sunny,5,1.2436930862830184,194,203346.91630130803
72.23064443,75.38185875,49,Female,56,Cloudy,8,1.7744029903203329,171,664020.7142295951
96.0349605,93.34441029,51,Female,27,Cloudy,9,2.0461985192799053,169,418890.9483635644
96.23437792,91.8210386,18,Male,55,Cloudy,3,2.1659855548887066,202,372200.22211602284
83.12915796,87.46190442,35,Female,54,Sunny,6,1.6447069751648913,185,523044.0381492148
97.81003857,94.37463386,54,Male,31,Sunny,1,1.6841194404270647,166,57484.84656778443
91.36767018,95.911693,49,Female,54,Cloudy,2,1.878713812179287,171,184069.14813188746
51.52025874,48.40048431,56,Male,31,Sunny,10,1.4605668854073923,164,347137.17434850405
96.93743153,95.56601888,24,Female,21,Sunny,3,1.7566111068275128,196,111608.91614114698
50.68907642,47.45277461,37,Female,36,Cloudy,1,1.4364565348969307,183,42162.94948787061
94.2268042,96.36381065,20,Female,33,Rainy,10,1.7274143347665065,200,589783.2989371006
81.85502061,78.27247592,51,Female,40,Rainy,5,1.7496853800938248,169,298520.2231170614
96.11824221,94.01242775,21,Male,24,Sunny,6,1.6766873592145275,199,292791.13318854745
59.20834713,55.78219929,31,Female,35,Rainy,5,1.6476303870934506,189,234432.95588233165
68.2300733,64.57042377,38,Female,30,Rainy,8,1.5182669005663594,182,324118.7506551956
81.27285503,78.20786746,25,Female,31,Rainy,9,1.5753663985471633,195,432611.7253276362
62.75129513,63.56491265,18,Male,29,Cloudy,3,1.8173873552881623,202,148762.98141201102
71.99043663,69.05311312,27,Female,34,Sunny,7,1.6431593563120477,193,351827.7615342547
71.32622876,67.17188522,52,Female,45,Rainy,10,1.40937236732581,168,576087.7419120941
97.29009016,101.0450295,49,Male,27,Sunny,9,1.8011358603701215,171,492865.8093835586
78.51290543,79.41729076,48,Male,35,Rainy,2,1.5247310623125065,172,112807.65167808444
66.85790055,66.77762847,58,Female,43,Sunny,4,1.553536449566443,162,222779.7874764971
59.58972611,62.54535184,60,Male,37,Cloudy,10,1.6639321036965717,160,512147.7452108519
76.38874557,73.95241722,42,Male,25,Rainy,4,1.9078798193043889,178,175626.00587805166
94.86783143,93.46029553,28,Female,23,Rainy,4,1.8047953579955387,192,160972.94782990936
63.48585996,60.11646252,48,Male,47,Sunny,7,1.5433907843232475,172,448071.51082068775
75.1904096,77.88313682,51,Female,41,Sunny,4,1.9514971382883477,169,254449.6374570683
79.76207885,83.47986826,53,Female,34,Rainy,5,1.582269540159969,167,251638.8357081023
68.93369316,65.71073511,25,Female,47,Sunny,2,1.3824695063245727,195,129274.36673842314
64.75229773,67.73405712,31,Male,45,Sunny,4,1.609740463724218,189,286618.0701200206
63.83401715,68.24753501,34,Male,21,Cloudy,10,1.6020402624673387,186,331479.8231822796
96.73989768,100.3214275,43,Male,55,Rainy,9,1.8870471445996406,177,1036456.2890108797
75.55821512,73.90294643,22,Male,58,Cloudy,7,1.884239001788448,198,754263.5805340805
99.40958568,102.5759785,40,Male,52,Sunny,10,1.8429784692500788,180,1102367.630705959
68.76460705,65.9868247,24,Male,32,Sunny,1,1.427422968477663,196,48677.11273850658
90.34390764,86.9147589,59,Female,21,Cloudy,8,1.6800483237416208,161,254738.86136890028
95.03513001,94.72751555,53,Female,42,Sunny,4,2.2225551427709327,167,299476.1144795759
98.54044053,99.44447884,25,Female,36,Rainy,4,2.2006673875084513,195,279456.89075763815
72.99231194,74.53645217,24,Male,23,Cloudy,1,1.8536735280379601,196,42325.90584401886
76.29655502,72.94929275,19,Female,33,Cloudy,8,1.7890196696543346,201,420848.57858159504
94.57317166,92.63114444,44,Male,44,Rainy,6,2.0760147411358707,176,548019.8899121191
68.97793856,67.15173698,48,Female,42,Cloudy,5,1.7447291684459525,172,294256.6637301094
70.03991788,73.94830679,60,Male,40,Sunny,7,1.673323596684461,160,431607.52883206075
86.54081641,91.02035846,52,Female,34,Cloudy,2,2.008813310295001,168,114677.14603821276
58.71842776,58.12264191,60,Male,54,Sunny,2,1.3024837761033095,160,124359.0837645868
95.40474681,91.80876937,45,Female,34,Rainy,4,2.0557832713089796,175,236446.927302964
74.81935703,76.758792,30,Female,50,Cloudy,10,1.6267596689683252,190,765725.8475351935
75.13242544,76.49065871,35,Female,37,Cloudy,2,1.5994807031352678,185,110916.47197627802
51.67232034,51.61450441,25,Male,38,Rainy,5,1.2353410303465653,195,233843.7684483765
88.23354287,87.63950887,59,Female,35,Sunny,9,1.6054318029994281,161,472464.8179933855
51.5847937,47.25295118,44,Male,57,Rainy,7,1.4365851422237534,176,463254.55968794413
53.36734089,51.0539001,38,Male,29,Rainy,10,1.321686224239165,182,345355.8724091018
70.36119841,67.68934097,41,Male,23,Cloudy,10,1.45976851300046,179,336485.8623837225
92.99259898,88.015325,50,Female,53,Sunny,6,1.742711806073953,170,503986.379239354
73.66603495,77.49636925,25,Female,49,Sunny,6,1.7783953065635283,195,472428.2449738705
88.4643151,91.84575014,25,Male,26,Sunny,6,1.9184425800036369,195,327218.5969680148
90.30070673,93.55516577,53,Female,54,Sunny,3,1.7379445924704935,167,262702.90212485293
61.12086094,59.79740766,28,Female,34,Cloudy,1,1.5576348414387502,192,46303.06668533132
72.00819989,69.53764157,31,Female,45,Sunny,10,1.5001033752781923,189,639499.3187665382
85.72444463,90.47551048,48,Female,41,Sunny,9,2.167890863410602,172,645009.2822755778
89.06139724,90.25399127,55,Male,52,Cloudy,9,1.7000325446418838,165,842917.2987539446
53.77242771,52.53937694,39,Female,39,Sunny,5,1.4648235923132873,181,237579.6086552531
98.18922448,93.67878248,42,Male,51,Cloudy,6,2.247699933280363,178,668185.8371409368
91.54321605,87.88988989,48,Female,59,Cloudy,5,1.624705426358751,172,458962.3431051375
60.37831842,55.78997996,34,Female,60,Cloudy,2,1.262794594267921,186,144897.20519931862
65.54597657,63.66141161,20,Male,27,Cloudy,10,1.551953696080999,200,424568.6577238792
51.72987654,55.34159526,48,Male,51,Rainy,9,1.6110268383487623,172,610657.791322602
93.63590805,95.85150615,32,Male,48,Rainy,6,1.907712399324583,188,606623.5607982964
98.07338041,97.51100213,41,Female,44,Sunny,3,2.157271923006073,179,242889.25035452767
88.56898311,83.59971205,28,Female,36,Cloudy,7,1.9190695138677347,192,426869.67272608867
61.33188581,60.26897653,54,Female,25,Cloudy,6,1.5853262631002742,166,189332.14534220623
98.98788724,100.6622709,59,Female,34,Sunny,5,1.8402201557166131,161,287818.0279530622
78.03411582,81.75602055,60,Female,45,Cloudy,7,1.937476935007934,160,486366.70209476195
87.65768193,86.62404938,33,Male,28,Sunny,3,1.8387275434316392,187,163290.01396148314
78.09088878,79.26890552,39,Male,53,Cloudy,3,1.5241539988522705,181,263998.1989768025
65.20203933,62.93323959,57,Male,34,Sunny,7,1.5409075835117234,163,320674.3361072525
78.79455625,80.72214674,21,Female,29,Cloudy,4,1.7795531567338652,199,191911.12602786804
88.7980383,88.43255009,40,Male,44,Cloudy,1,1.6546977106429832,180,80964.50141530512
58.91103944,55.12313268,41,Female,25,Sunny,4,1.548115191666021,179,125939.26942700935
53.79172818,53.91204673,44,Female,32,Rainy,4,1.4657479072999797,176,154839.858917612
99.17696961,95.23066175,19,Female,58,Sunny,2,1.6755214206033011,201,204739.70597539772
91.50202327,93.79851035,48,Male,45,Rainy,9,1.7740419884606222,172,779158.194335587
77.88304304,73.94803631,18,Male,34,Sunny,1,1.711983074170227,202,61146.909671138324
96.50479509,98.47403214,28,Female,54,Cloudy,2,1.6861822614831354,192,190006.73709905398
63.91988695,63.89765467,37,Female,44,Cloudy,10,1.660425969053675,183,612763.6142963801
67.11663076,70.08391828,38,Female,54,Cloudy,6,1.4758650161493632,182,449822.7996855874
72.54392001,70.50374018,22,Male,49,Cloudy,4,1.5095938672491405,198,319962.29800052725
74.14516433,70.23640316,58,Female,28,Rainy,10,1.8052821688042169,162,393457.52205649856
67.33329576,65.25413296,24,Male,44,Rainy,7,1.6856329969897523,196,503659.7395123146
82.65908838,79.01064398,60,Male,49,Sunny,8,1.7779008403798293,160,650509.1865937493
76.80096868,80.535058,59,Female,25,Cloudy,10,1.7888128018276608,161,372751.2218330524
60.22072815,58.08897521,40,Male,22,Rainy,8,1.3563053057769254,180,227108.80141500616
66.22890819,70.7713874,57,Male,27,Cloudy,10,1.8414241736212646,163,431081.1192380341
54.98457117,52.05841484,29,Female,53,Rainy,3,1.2450224320884382,191,189069.30272635003
80.41071319,77.41519775,35,Female,34,Sunny,10,1.5618339450125873,185,508557.54651811084
60.14283902,55.41210375,21,Female,26,Sunny,1,1.602938619730949,199,35506.87680199135
51.4126883,55.32812567,19,Female,59,Sunny,6,1.6332755032971626,201,489557.5488631506
54.00657727,58.25794246,31,Male,39,Rainy,2,1.3063102109320721,189,102940.88417830787
50.80994275,51.10745895,35,Male,30,Sunny,8,1.236635472336875,185,280275.59777462797
75.96628696,72.49935442,48,Female,58,Cloudy,7,1.483245852875172,172,556083.6227902422
99.43406735,98.99602467,51,Male,36,Rainy,5,1.729876658325878,169,351945.4591502242
61.66126373,62.93773009,60,Male,60,Cloudy,9,1.5709205199414589,160,726193.9048692435
79.50702411,82.90077002,18,Female,56,Sunny,1,1.6224258316608424,202,91776.38080931426
69.55536825,70.98652946,54,Female,24,Rainy,8,1.9541973948210294,166,283314.3918397776
60.56365223,61.05276,35,Male,22,Rainy,9,1.3593662180353143,185,269270.2334035192
59.45034665,60.27206231,19,Female,55,Rainy,6,1.3221083035816183,201,439641.81116795127
57.5357302,55.00439332,40,Male,20,Rainy,4,1.532875072816072,180,106704.20838019784
69.97506025,71.43576989,57,Male,38,Rainy,2,1.7561836829368171,163,118908.88245798588
71.7618215,70.57669883,45,Male,25,Rainy,8,1.4295945182630638,175,292895.0887079909
53.50719133,53.64369787,58,Male,41,Cloudy,5,1.241517973725511,162,220080.84467082884
85.59008795,90.29951198,55,Female,56,Cloudy,2,1.6304014822676036,165,173548.58824638315
83.18856385,87.17224165,43,Male,27,Sunny,10,1.6813149763024384,177,491119.3561983994
78.18353651,82.31624701,25,Female,60,Cloudy,4,2.1037727250963507,195,420544.8303207167
54.29839255,49.79118232,31,Female,28,Cloudy,8,1.5100848644491123,189,278119.82327794
87.67809256,90.26654198,22,Male,59,Cloudy,10,2.00375975961073,198,1259280.1712105174
72.96037911,74.50439035,30,Male,22,Cloudy,1,1.6153663227116302,190,37210.835547341754
54.71944775,57.63360856,59,Female,40,Rainy,4,1.7261365969001463,161,201570.89537183766
96.79539475,92.97289312,49,Female,40,Sunny,1,2.032831082196919,171,68996.57647780981
80.68212331,79.548377,21,Male,42,Sunny,3,1.597512749098847,199,226989.12284515367
86.97470778,89.10269181,23,Male,20,Sunny,8,1.7843914554425961,197,321252.6754632755
50.37197878,49.46376539,52,Male,42,Sunny,3,1.3607132838176508,168,139712.62659907402
95.03089349,94.53201313,52,Female,41,Sunny,2,1.9459946054689088,168,139354.05164336498
51.61870125,50.81730665,41,Male,31,Sunny,10,1.4387939740878941,179,380333.32245999743
94.84912768,95.00903929,30,Male,49,Sunny,5,2.0102030517490626,190,528118.2132561138
85.96624063,83.17303177,26,Female,57,Sunny,1,1.6986806929139666,194,92930.8222961904
71.08093495,68.49501401,50,Female,38,Cloudy,4,1.5340044642796857,170,203634.54859281614
73.22127459,76.17260938,44,Male,56,Sunny,6,1.5832238033897232,176,543932.7771731577
63.37740771,63.89690295,19,Female,20,Rainy,10,1.364577987095936,201,275784.7843961942
83.84120414,84.85824043,22,Male,59,Cloudy,7,1.7081771532015524,198,792988.1099620617
90.96677934,94.58201652,21,Male,35,Rainy,8,2.0195986691931993,199,617530.3894659919
65.78704728,61.21898835,30,Female,37,Cloudy,4,1.434928904510307,190,196592.24206368197
96.60189359,95.33283953,42,Female,22,Cloudy,1,1.8382714553116035,178,37768.98980776779
57.83950131,62.78126409,36,Female,24,Cloudy,10,1.5771136194037956,184,326601.8755995662
74.55841832,75.71544404,30,Male,56,Rainy,4,1.9682437290234638,190,420441.72113714187
67.98009312,64.59699077,56,Female,46,Sunny,6,1.7983156345088271,164,375238.4377930028
69.03532005,68.78811679,37,Male,50,Cloudy,6,1.6439736292526768,183,476643.10359419684
52.96289251,56.05930883,31,Female,53,Rainy,6,1.2722965073152164,189,389836.48197608994
69.62651046,71.24835918,41,Female,55,Cloudy,3,1.7052236484795247,179,240433.85250000874
94.42501051,89.91824843,53,Female,35,Sunny,2,2.165118250259633,167,120423.14740138511
